"county","tract","blockgroup","state","puma22","stab","CountyName","PUMA22name","pop20","afact"
"County code","Tract","Block group","State code","PUMA (2022)","State abbr.","County name","PUMA22 name","Total population (2020 Census)","blockgroup-to-puma22 allocation factor"
"06097","1535.02","4","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1354,1 
"06097","1536.01","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",877,1 
"06097","1536.01","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1003,1 
"06097","1536.02","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",864,1 
"06097","1536.02","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",828,1 
"06097","1536.02","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1458,1 
"06097","1537.05","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",467,1 
"06097","1537.05","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",776,1 
"06097","1537.05","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1068,1 
"06097","1537.05","4","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1071,1 
"06097","1537.07","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",509,1 
"06097","1537.07","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",546,1 
"06097","1537.07","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",462,1 
"06097","1537.08","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",495,1 
"06097","1537.08","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",454,1 
"06097","1537.08","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",377,1 
"06097","1537.08","4","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",370,1 
"06097","1537.09","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",707,1 
"06097","1537.09","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",884,1 
"06097","1537.10","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",819,1 
"06097","1537.10","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",690,1 
"06097","1537.10","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",760,1 
"06097","1537.11","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",804,1 
"06097","1537.11","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",542,1 
"06097","1537.11","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",867,1 
"06097","1537.12","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",731,1 
"06097","1537.12","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1198,1 
"06097","1538.04","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1486,1 
"06097","1538.04","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1745,1 
"06097","1538.06","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",752,1 
"06097","1538.06","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",623,1 
"06097","1538.06","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1311,1 
"06097","1538.07","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",2335,1 
"06097","1538.07","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1296,1 
"06097","1538.07","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",326,1 
"06097","1538.08","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1409,1 
"06097","1538.08","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",973,1 
"06097","1538.08","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1931,1 
"06097","1538.09","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1734,1 
"06097","1538.09","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1768,1 
"06097","1538.09","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1008,1 
"06097","1538.10","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1121,1 
"06097","1538.10","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1075,1 
"06097","1538.10","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1939,1 
